DATE,FYFF,LHUR
1948-01-01,,3.40
1948-02-01,,3.80
1948-03-01,,4.00
1948-04-01,,3.90
1948-05-01,,3.50
1948-06-01,,3.60
1948-07-01,,3.60
1948-08-01,,3.90
1948-09-01,,3.80
1948-10-01,,3.70
1948-11-01,,3.80
1948-12-01,,4.00
1949-01-01,,4.30
1949-02-01,,4.70
1949-03-01,,5.00
1949-04-01,,5.30
1949-05-01,,6.10
1949-06-01,,6.20
1949-07-01,,6.70
1949-08-01,,6.80
1949-09-01,,6.60
1949-10-01,,7.90
1949-11-01,,6.40
1949-12-01,,6.60
1950-01-01,,6.50
1950-02-01,,6.40
1950-03-01,,6.30
1950-04-01,,5.80
1950-05-01,,5.50
1950-06-01,,5.40
1950-07-01,,5.00
1950-08-01,,4.50
1950-09-01,,4.40
1950-10-01,,4.20
1950-11-01,,4.20
1950-12-01,,4.30
1951-01-01,,3.70
1951-02-01,,3.40
1951-03-01,,3.40
1951-04-01,,3.10
1951-05-01,,3.00
1951-06-01,,3.20
1951-07-01,,3.10
1951-08-01,,3.10
1951-09-01,,3.30
1951-10-01,,3.50
1951-11-01,,3.50
1951-12-01,,3.10
1952-01-01,,3.20
1952-02-01,,3.10
1952-03-01,,2.90
1952-04-01,,2.90
1952-05-01,,3.00
1952-06-01,,3.00
1952-07-01,,3.20
1952-08-01,,3.40
1952-09-01,,3.10
1952-10-01,,3.00
1952-11-01,,2.80
1952-12-01,,2.70
1953-01-01,,2.90
1953-02-01,,2.60
1953-03-01,,2.60
1953-04-01,,2.70
1953-05-01,,2.50
1953-06-01,,2.50
1953-07-01,,2.60
1953-08-01,,2.70
1953-09-01,,2.90
1953-10-01,,3.10
1953-11-01,,3.50
1953-12-01,,4.50
1954-01-01,,4.90
1954-02-01,,5.20
1954-03-01,,5.70
1954-04-01,,5.90
1954-05-01,,5.90
1954-06-01,,5.60
1954-07-01,,5.80
1954-08-01,1.21,6.00
1954-09-01,1.07,6.10
1954-10-01,0.90,5.70
1954-11-01,0.91,5.30
1954-12-01,1.26,5.00
1955-01-01,1.37,4.90
1955-02-01,1.29,4.70
1955-03-01,1.35,4.60
1955-04-01,1.43,4.70
1955-05-01,1.43,4.30
1955-06-01,1.62,4.20
1955-07-01,1.68,4.00
1955-08-01,1.90,4.20
1955-09-01,2.18,4.10
1955-10-01,2.24,4.30
1955-11-01,2.35,4.20
1955-12-01,2.48,4.20
1956-01-01,2.44,4.00
1956-02-01,2.50,3.90
1956-03-01,2.50,4.20
1956-04-01,2.62,4.00
1956-05-01,2.75,4.30
1956-06-01,2.71,4.30
1956-07-01,2.74,4.40
1956-08-01,2.74,4.10
1956-09-01,2.95,3.90
1956-10-01,2.96,3.90
1956-11-01,2.88,4.30
1956-12-01,2.94,4.20
1957-01-01,2.93,4.20
1957-02-01,3.00,3.90
1957-03-01,2.96,3.70
1957-04-01,3.00,3.90
1957-05-01,3.00,4.10
1957-06-01,3.00,4.30
1957-07-01,2.99,4.20
1957-08-01,3.24,4.10
1957-09-01,3.50,4.40
1957-10-01,3.50,4.50
1957-11-01,3.22,5.10
1957-12-01,2.98,5.20
1958-01-01,2.72,5.80
1958-02-01,1.67,6.40
1958-03-01,1.20,6.70
1958-04-01,1.26,7.40
1958-05-01,0.63,7.40
1958-06-01,0.93,7.30
1958-07-01,0.68,7.50
1958-08-01,1.53,7.40
1958-09-01,1.76,7.10
1958-10-01,1.80,6.70
1958-11-01,2.27,6.20
1958-12-01,2.42,6.20
1959-01-01,2.48,6.00
1959-02-01,2.40,5.90
1959-03-01,2.80,5.60
1959-04-01,2.96,5.20
1959-05-01,2.90,5.10
1959-06-01,3.39,5.00
1959-07-01,3.44,5.10
1959-08-01,3.50,5.20
1959-09-01,3.76,5.50
1959-10-01,3.98,5.70
1959-11-01,4.00,5.80
1959-12-01,3.99,5.30
1960-01-01,3.99,5.20
1960-02-01,3.97,4.80
1960-03-01,3.84,5.40
1960-04-01,3.92,5.20
1960-05-01,3.85,5.10
1960-06-01,3.32,5.40
1960-07-01,3.23,5.50
1960-08-01,2.98,5.60
1960-09-01,2.60,5.50
1960-10-01,2.47,6.10
1960-11-01,2.44,6.10
1960-12-01,1.98,6.60
1961-01-01,1.45,6.60
1961-02-01,2.54,6.90
1961-03-01,2.02,6.90
1961-04-01,1.50,7.00
1961-05-01,1.98,7.10
1961-06-01,1.73,6.90
1961-07-01,1.16,7.00
1961-08-01,2.00,6.60
1961-09-01,1.88,6.70
1961-10-01,2.26,6.50
1961-11-01,2.62,6.10
1961-12-01,2.33,6.00
1962-01-01,2.14,5.80
1962-02-01,2.37,5.50
1962-03-01,2.70,5.60
1962-04-01,2.69,5.60
1962-05-01,2.29,5.50
1962-06-01,2.68,5.50
1962-07-01,2.71,5.40
1962-08-01,2.93,5.70
1962-09-01,2.90,5.60
1962-10-01,2.90,5.40
1962-11-01,2.94,5.70
1962-12-01,2.93,5.50
1963-01-01,2.91,5.70
1963-02-01,3.00,5.90
1963-03-01,2.98,5.70
1963-04-01,2.90,5.70
1963-05-01,3.00,5.90
1963-06-01,2.99,5.60
1963-07-01,3.02,5.60
1963-08-01,3.49,5.40
1963-09-01,3.48,5.50
1963-10-01,3.50,5.50
1963-11-01,3.48,5.70
1963-12-01,3.38,5.50
1964-01-01,3.48,5.60
1964-02-01,3.48,5.40
1964-03-01,3.43,5.40
1964-04-01,3.47,5.30
1964-05-01,3.50,5.10
1964-06-01,3.50,5.20
1964-07-01,3.42,4.90
1964-08-01,3.50,5.00
1964-09-01,3.45,5.10
1964-10-01,3.36,5.10
1964-11-01,3.52,4.80
1964-12-01,3.85,5.00
1965-01-01,3.90,4.90
1965-02-01,3.98,5.10
1965-03-01,4.04,4.70
1965-04-01,4.09,4.80
1965-05-01,4.10,4.60
1965-06-01,4.04,4.60
1965-07-01,4.09,4.40
1965-08-01,4.12,4.40
1965-09-01,4.01,4.30
1965-10-01,4.08,4.20
1965-11-01,4.10,4.10
1965-12-01,4.32,4.00
1966-01-01,4.42,4.00
1966-02-01,4.60,3.80
1966-03-01,4.65,3.80
1966-04-01,4.67,3.80
1966-05-01,4.90,3.90
1966-06-01,5.17,3.80
1966-07-01,5.30,3.80
1966-08-01,5.53,3.80
1966-09-01,5.40,3.70
1966-10-01,5.53,3.70
1966-11-01,5.77,3.60
1966-12-01,5.40,3.80
1967-01-01,4.94,3.90
1967-02-01,5.00,3.80
1967-03-01,4.53,3.80
1967-04-01,4.05,3.80
1967-05-01,3.94,3.80
1967-06-01,3.98,3.90
1967-07-01,3.79,3.80
1967-08-01,3.89,3.80
1967-09-01,4.00,3.80
1967-10-01,3.88,4.00
1967-11-01,4.12,3.90
1967-12-01,4.51,3.80
1968-01-01,4.60,3.70
1968-02-01,4.72,3.80
1968-03-01,5.05,3.70
1968-04-01,5.76,3.50
1968-05-01,6.12,3.50
1968-06-01,6.07,3.70
1968-07-01,6.02,3.70
1968-08-01,6.03,3.50
1968-09-01,5.78,3.40
1968-10-01,5.92,3.40
1968-11-01,5.81,3.40
1968-12-01,6.02,3.40
1969-01-01,6.30,3.40
1969-02-01,6.64,3.40
1969-03-01,6.79,3.40
1969-04-01,7.41,3.40
1969-05-01,8.67,3.40
1969-06-01,8.90,3.50
1969-07-01,8.61,3.50
1969-08-01,9.19,3.50
1969-09-01,9.15,3.70
1969-10-01,9.00,3.70
1969-11-01,8.85,3.50
1969-12-01,8.97,3.50
